longitude,latitude,sentiment
115.16736031,-8.6773787,0.26666666666666666
-104.98360001,39.7391,0
-109.067,35.742,0.05
-157.90909,21.60879,0
-84.22533,33.94581,0.2555194805194805
-116.39277778,47.11222222,0.1288888888888889
-117.566,33.8753,0
115.27335,-8.64588,0
77.2089,28.6139,0
-122.675,45.5236111,0
-61.51666667,10.66666667,-0.16666666666666666
5.23092985,7.49849377,0.7
-71.8,42.3,-0.4999999999999999
-82.96921,39.98463,0.25
-75.5986169,38.36154361,0.25
-117.566,33.8753,0
-80.14034,26.10704,-0.1
-95.35396,29.7512,0.5125
-118.2445,34.0564,0
-80.84333333,35.22694444,0.8
-106.81883,39.18747,0.8
-111.935,33.4219,0
-118.35439145,34.13767425,0.024999999999999994
3.39583,6.45306,0
88.1971,69.3531,0
-111.943,33.5303,0.8
-68.58259529,18.80287827,0
-118.2445,34.0564,0
-73.99575,40.74055,0
-97.145401,32.88940048,0
80.08903432,12.90594782,0
176.167,-37.6833,0.17500000000000002
12,43,0
-112.04666667,33.05666667,-0.4861111111111111
-70.97138,41.98634,0
3.39583,6.45306,0
-118.44801,33.95924,0.3
125.6865055,7.3141737,0.4666666666666666
-94.3781,38.9127,0.17045454545454544
-122.03315345,37.84915198,0.5
-73.9539137,40.8031678,0
-77.0367,38.8951,-0.23333333333333328
100.494,13.7522,0.5
-111.8718415,33.610317,-0.5
-73.95666837,40.77091422,0
144.9661,-37.8156,0.6666666666666666
-110.64494,50.04326,0
89.3875,23.6,0.3833333333333333
-82.93154,40.12577,0.23000000000000004
-79.7283,43.6286,0
-83.15207452,42.41772334,0
39.81653452,21.41681671,0
55.30822277,25.07160584,0.06818181818181818
103.86445454,1.36689104,0
-79.38007,43.65367,-0.1
-118.2445,34.0564,0
-73.92099697,40.83568821,0.2800189393939394
-79.3367873,43.7175553,-0.1
6.79880155,6.12114236,0.2916666666666667
-71.0558,42.4066,-0.5666666666666667
-86.0331065,34.6726022,0.22499999999999998
106.8233,-6.1803,-0.3
-118.43,34.0561,0.4166666666666667
-122.20968,47.82873,0.03333333333333333
-74.0064,40.7142,0.0909090909090909
116.388,39.9289,0.128125
-118.49794,34.26394,0.2857142857142857
123.892,10.3111,0
110.34196249,1.48776396,0
9.19466001,45.46051109,0
72.8764,19.0627,0.13636363636363635
-75.7,45.4167,0.26212121212121214
-73.94837222,40.80903333,0.06818181818181818
79.44733143,29.40700232,0.0625
115.16767426,-8.67758463,0.12727272727272726
-74.00589108,40.71270142,0
-105.922,35.7461,0.19318181818181818
-122.56211626,45.48207946,0
-74.3017,40.6575,0
103.4015,1.88449,0
-76.74156,38.94595,0.45
-95.3694,29.7602,0
-115.25892863,36.16699966,0
